"Date","Friendly date","Repo name","Repo URL","PR title","PR URL"
2015-03-10T11:28:09Z,"Mar 10, 2015, 11:28 AM GMT","alphagov/govuk_frontend_toolkit",https://github.com/alphagov/govuk_frontend_toolkit,"Split mixin and javascript documentation into separate files",/alphagov/govuk_frontend_toolkit/pull/161
2015-03-10T15:10:48Z,"Mar 10, 2015, 3:10 PM GMT","alphagov/slimmer",https://github.com/alphagov/slimmer,"[DISCUSS] Switch from JS custom variables to HTML meta tags",/alphagov/slimmer/pull/117
2015-03-03T12:55:01Z,"Mar 3, 2015, 12:55 PM GMT","alphagov/slimmer",https://github.com/alphagov/slimmer,"Remove `GOVUK.Analytics` variables",/alphagov/slimmer/pull/115
2015-03-03T12:32:39Z,"Mar 3, 2015, 12:32 PM GMT","alphagov/slimmer",https://github.com/alphagov/slimmer,"Remove business proposition custom variable",/alphagov/slimmer/pull/114
2015-03-03T11:59:06Z,"Mar 3, 2015, 11:59 AM GMT","alphagov/whitehall",https://github.com/alphagov/whitehall,"Anonymise IP addresses sent to Google Analytics",/alphagov/whitehall/pull/2005
2015-03-02T15:15:35Z,"Mar 2, 2015, 3:15 PM GMT","alphagov/static",https://github.com/alphagov/static,"Don't minify analytics initialisers in template",/alphagov/static/pull/552
2015-03-02T16:31:54Z,"Mar 2, 2015, 4:31 PM GMT","alphagov/collections",https://github.com/alphagov/collections,"Track pageviews and custom vars in Universal",/alphagov/collections/pull/71
2015-03-02T16:06:26Z,"Mar 2, 2015, 4:06 PM GMT","alphagov/whitehall",https://github.com/alphagov/whitehall,"Track social media shares in Universal",/alphagov/whitehall/pull/1998
2015-02-26T15:17:06Z,"Feb 26, 2015, 3:17 PM GMT","alphagov/static",https://github.com/alphagov/static,"Track social media shares in Universal analytics",/alphagov/static/pull/550
2015-02-25T13:34:41Z,"Feb 25, 2015, 1:34 PM GMT","alphagov/static",https://github.com/alphagov/static,"Begin migration from classic to universal Google Analytics",/alphagov/static/pull/549
2015-02-23T15:54:00Z,"Feb 23, 2015, 3:54 PM GMT","alphagov/static",https://github.com/alphagov/static,"[DISCUSS] Begin migration from classic to universal Google Analytics",/alphagov/static/pull/548
2015-02-20T13:48:53Z,"Feb 20, 2015, 1:48 PM GMT","alphagov/whitehall",https://github.com/alphagov/whitehall,"Remove metadata link tracking",/alphagov/whitehall/pull/1982
2015-02-16T21:13:02Z,"Feb 16, 2015, 9:13 PM GMT","alphagov/trade-tariff-frontend",https://github.com/alphagov/trade-tariff-frontend,"Anonymise IP addresses",/alphagov/trade-tariff-frontend/pull/166
2015-02-16T10:46:04Z,"Feb 16, 2015, 10:46 AM GMT","alphagov/policy-publisher",https://github.com/alphagov/policy-publisher,"Add environment dependent favicons",/alphagov/policy-publisher/pull/13
2015-02-20T13:50:14Z,"Feb 20, 2015, 1:50 PM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Upgrade Bootstrap to 3.3.2 and manage analytics via admin gem",/alphagov/publisher/pull/369
2015-02-11T15:30:30Z,"Feb 11, 2015, 3:30 PM GMT","alphagov/govuk_admin_template",https://github.com/alphagov/govuk_admin_template,"Include Google Analytics tracking code",/alphagov/govuk_admin_template/pull/59
2015-02-11T10:26:21Z,"Feb 11, 2015, 10:26 AM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Fix downtime slug links in production",/alphagov/publisher/pull/368
2015-02-06T18:35:32Z,"Feb 6, 2015, 6:35 PM GMT","alphagov/support",https://github.com/alphagov/support,"Bump admin gem to 1.5.1",/alphagov/support/pull/214
